"customername","recency","frequency","monetary","r_score","f_score","m_score","rfm_score","rfm_total_score","customer_segment"
"Toys4GrownUps.com",561,"2","60288.60",1,2,2,"122",5,"Lost Customers"
"Men 'R' US Retailers, Ltd.",509,"2","48048.46",1,1,1,"111",3,"Lost Customers"
"Double Decker Gift Stores, Ltd",496,"2","36019.04",1,2,1,"121",4,"Lost Customers"
"West Coast Collectables Co.",489,"2","46084.64",1,1,1,"111",3,"Lost Customers"
"Signal Collectibles Ltd.",477,"2","50218.51",1,1,1,"111",3,"Lost Customers"
"Daedalus Designs Imports",466,"2","69052.41",1,2,2,"122",5,"Lost Customers"
"Collectable Mini Designs Co.",461,"2","87489.23",1,1,3,"113",5,"Hibernating High Value"
"Saveley & Henriot, Co.",456,"3","142874.25",1,5,5,"155",11,"At Risk High Value"
"CAF Imports",439,"2","49642.05",1,1,1,"111",3,"Lost Customers"
"Osaka Souveniers Co.",414,"2","67605.07",1,2,2,"122",5,"Lost Customers"
"Diecast Collectables",401,"2","70859.78",1,2,2,"122",5,"Lost Customers"
"Super Scale Inc.",393,"2","79472.07",1,1,3,"113",5,"Hibernating High Value"
"Cambridge Collectables Co.",389,"2","36163.62",1,2,1,"121",4,"Lost Customers"
"Tekni Collectables Inc.",379,"2","36709.19",1,2,1,"121",4,"Lost Customers"
"Danish Wholesale Imports",358,"3","94950.12",1,4,3,"143",8,"At Risk"
"Australian Collectables, Ltd",334,"2","50213.37",1,1,1,"111",3,"Lost Customers"
"Petit Auto",315,"2","66560.57",1,2,2,"122",5,"Lost Customers"
"Royal Canadian Collectables, Ltd.",285,"2","74634.85",1,2,2,"122",5,"Lost Customers"
"Norway Gifts By Mail, Co.",284,"2","79224.23",1,1,3,"113",5,"Hibernating High Value"
"Vida Sport, Ltd",275,"2","117713.56",2,1,4,"214",7,"Hibernating High Value"
"Herkku Gifts",271,"3","111640.28",2,4,4,"244",10,"At Risk High Value"
"Amica Models & Co.",265,"2","94117.26",2,1,3,"213",6,"Hibernating High Value"
"Gifts4AllAges.com",264,"2","34892.99",2,2,1,"221",5,"Lost Customers"
"Online Mini Collectables",264,"2","57197.96",2,1,1,"211",4,"Lost Customers"
"Bavarian Collectables Imports, Co.",259,"1","34993.92",2,1,1,"211",4,"Lost Customers"
"Clover Collections, Co.",258,"2","57756.43",2,1,2,"212",5,"Lost Customers"
"Iberia Gift Imports, Corp.",238,"2","54723.62",2,1,1,"211",4,"Lost Customers"
"Auto Assoc. & Cie.",233,"2","64834.32",2,2,2,"222",6,"Lost Customers"
"Marta's Replicas Co.",231,"2","103080.38",2,1,4,"214",7,"Hibernating High Value"
"Classic Gift Ideas, Inc",230,"2","67506.97",2,2,2,"222",6,"Lost Customers"
"Mini Classics",229,"2","85555.99",2,1,3,"213",6,"Hibernating High Value"
"Toms Spezialitten, Ltd",228,"2","100306.58",2,2,4,"224",8,"Hibernating High Value"
"Canadian Gift Exchange Network",222,"2","75238.92",2,2,2,"222",6,"Lost Customers"
"Heintze Collectables",222,"2","100595.55",2,2,4,"224",8,"Hibernating High Value"
"giftsbymail.co.uk",212,"2","78240.84",2,2,2,"222",6,"Lost Customers"
"Corrida Auto Replicas, Ltd",212,"3","120615.28",2,4,5,"245",11,"At Risk High Value"
"Diecast Classics Inc.",211,"3","115971.34",2,4,4,"244",10,"At Risk High Value"
"Microscale Inc.",210,"2","33144.93",2,1,1,"211",4,"Lost Customers"
"Online Diecast Creations Co.",209,"3","131685.30",3,4,5,"345",12,"Potential Loyalists"
"Vitachrome Inc.",208,"3","88041.26",3,3,3,"333",9,"Potential Loyalists"
"Blauer See Auto, Co.",208,"4","85171.59",3,5,3,"353",11,"Potential Loyalists"
"Baane Mini Imports",208,"4","116599.19",3,5,4,"354",12,"Potential Loyalists"
"Volvo Model Replicas, Co",204,"3","49494.67",3,3,1,"331",7,"Potential Loyalists"
"Rovelli Gifts",201,"3","137955.72",3,4,5,"345",12,"Potential Loyalists"
"Land of Toys Inc.",198,"3","118711.78",3,4,4,"344",11,"Potential Loyalists"
"Cruz & Sons Co.",197,"3","94015.73",3,4,3,"343",10,"Potential Loyalists"
"Motor Mint Distributors Inc.",196,"3","83682.16",3,3,3,"333",9,"Potential Loyalists"
"AV Stores, Co.",196,"3","157807.81",3,5,5,"355",13,"Potential Loyalists"
"Mini Wheels Co.",195,"3","74476.18",3,3,2,"332",8,"Potential Loyalists"
"La Corne D'abondance, Co.",193,"3","97203.68",3,4,4,"344",11,"Potential Loyalists"
"Classic Legends Inc.",192,"3","77795.20",3,3,2,"332",8,"Potential Loyalists"
"Enaco Distributors",189,"3","78411.86",3,3,3,"333",9,"Potential Loyalists"
"Atelier graphique",188,"3","24179.96",3,3,1,"331",7,"Potential Loyalists"
"Signal Gift Stores",184,"3","82751.08",3,3,3,"333",9,"Potential Loyalists"
"Australian Collectors, Co.",184,"5","200995.41",3,5,5,"355",13,"Potential Loyalists"
"Muscle Machine Inc",182,"4","197736.94",3,5,5,"355",13,"Potential Loyalists"
"Auto-Moto Classics Inc.",180,"3","26479.26",4,3,1,"431",8,"Loyal Customers"
"Stylish Desk Decors, Co.",180,"3","88804.50",4,3,3,"433",10,"Loyal Customers"
"Gift Ideas Corp.",179,"3","57294.42",4,3,2,"432",9,"Loyal Customers"
"Souveniers And Things Co.",166,"3","107599.55",4,4,4,"444",12,"Champions"
"Technics Stores Inc.",147,"4","120783.07",4,5,5,"455",14,"Champions"
"Suominen Souveniers",146,"3","113961.15",4,4,4,"444",12,"Champions"
"Marseille Mini Autos",146,"3","74936.14",4,3,2,"432",9,"Loyal Customers"
"Mini Creations Ltd.",145,"3","108951.13",4,4,4,"444",12,"Champions"
